Nama,Tipe Barang,Varian Barang,Ulasan,Rating,Tanggal
hamsiah,MITOCHIBA MESIN CUCI PORTABLE WM-1,Varian barang tidak ditemukan,"barang nya tiba dgn selamat dan rapih , tksih",5,Lebih dari 1 tahun lalu
Dian,LG PURICARE MASKER AP300AWFA,Varian barang tidak ditemukan,Barang cepat sampai dan bagus sekali. Recomended masker dan sellernya,5,Lebih dari 1 tahun lalu
Adri,"LG LED Smart TV 32"" 32LM630BPTB",Varian barang tidak ditemukan,sebelum dikirim barang dicek dan dites dulu lengkap dengan bukti foto. super pelayanan nya,5,Lebih dari 1 tahun lalu
M***a,Maspion Kompor Listrik Portable S301,Varian barang tidak ditemukan,"Ok, cepat dan barang bagus..",5,Lebih dari 1 tahun lalu
I***y,miyako Rice cooker 3 in 1 model mcm 609,Varian barang tidak ditemukan,"Respond cepat, brg diterima dgn baik. Terimakasih",5,Lebih dari 1 tahun lalu
nel,HAND MIXER PHILIPS HR-1552,Varian barang tidak ditemukan,"seller nya fast respon, packingnya bagus dan barangnya sesuai pesanan",5,Lebih dari 1 tahun lalu
Elsye,KIRIN OVEN LISTRIK KBO-190 LW ( Low Watt ),Varian barang tidak ditemukan,"barang sudah sampai, packing rapi, seller ramah dan fast respon,,,oven berfungsi dengan baik....makasih",5,Lebih dari 1 tahun lalu
Dinda,PROGAS kompor portable 2 in 1 Termurah,Varian barang tidak ditemukan,"Packing oke, pakai bubble wrap padahal dekat 🤗. pengiriman ekspres. seller ramah",5,Lebih dari 1 tahun lalu
riris,LG Kulkas 2 Pintu Smart Inverter GN-B215 SQMT ( Khusus Makassar ),Varian barang tidak ditemukan,"allhamdulillah unit tiba dengan aman, pelayanan bagusss, admin juga fast respon dan komunikatif... terus ditingkatkan😊",5,Lebih dari 1 tahun lalu
Indrasari,Mito MO-666 Neo Electric Oven 20 L,Varian barang tidak ditemukan,keren sih adminnya fast response. barang juga habis dipesan langsung diproses. barang sampai cuma beberapa jam pake pengiriman instan.. barang nya juga oke.. puas deh pok...,5,Lebih dari 1 tahun lalu
L***y,LG MESIN CUCI 2 TABUNG - TWIN TUB P905RTB 9KG ( KHUSUS MAKASSAR ),Varian barang tidak ditemukan,"barang sesuai Gambar, respon seller cepat dan ramah. .",5,Lebih dari 1 tahun lalu
r***y,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,"paket diterima lebih cepat ...pagi dipesan nggak sampai siang barang sdh nyampe, ngak perlu repot2 ke toko, puas belanja disini.
chat cepat direspon.",5,Lebih dari 1 tahun lalu
Masriana,Miyako KG 502 C Kompor Gas 2 Tungku,Varian barang tidak ditemukan,barangnya udah nyampe dan prosessnya cepat terimakasih,5,Lebih dari 1 tahun lalu
V***i,Cosmos Blender CB 522 - Hitam,Varian barang tidak ditemukan,"Pagi pesan siang sudah sampai,
Seller ramah😊senang belanja disini",5,Lebih dari 1 tahun lalu
F***Y,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,mantap,5,Lebih dari 1 tahun lalu
L***o,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,respon dan pengiriman cepat..👍👍,5,Lebih dari 1 tahun lalu
Herry,MIYAKO KIPAS ANGIN WALL FAN REMOTE KAW-1689 RC,Varian barang tidak ditemukan,pelayanan cepat dan sangan baik,5,Lebih dari 1 tahun lalu
